"Coef","variable"
7.46829851585722,"(Intercept)"
0,"X"
2.4375736434041e-05,"X1stFlrSF"
0,"X2ndFlrSF"
0,"X3SsnPorch"
0,"Alley"
0,"BedroomAbvGr"
0,"BsmtCond"
0.00520138672850931,"BsmtExposure"
3.84430116876644e-05,"BsmtFinSF1"
0,"BsmtFinSF2"
0.00516290828873589,"BsmtFinType1"
0,"BsmtFinType2"
0,"BsmtFullBath"
0,"BsmtHalfBath"
0.00971112670191311,"BsmtQual"
0,"BsmtUnfSF"
0,"EnclosedPorch"
0,"ExterCond"
0.0174967296881224,"ExterQual"
0,"Fence"
0.022616552406942,"FireplaceQu"
0.00920133929447645,"Fireplaces"
0,"FullBath"
0,"Functional"
1.61497424024339e-05,"GarageArea"
0.0561036157626731,"GarageCars"
0,"GarageCond"
0,"GarageQual"
0,"GarageYrBlt"
0.000211480098500574,"GrLivArea"
0,"HalfBath"
0.00938281378357457,"HeatingQC"
0,"Id"
0,"KitchenAbvGr"
0.027379117987401,"KitchenQual"
5.46002978472905e-07,"LotArea"
0,"LotFrontage"
0,"LowQualFinSF"
0,"MSSubClass"
0,"MasVnrArea"
0,"MiscFeature"
0,"MiscVal"
0,"MoSold"
0,"OpenPorchSF"
0.0076663963146044,"OverallCond"
0.0892991564021774,"OverallQual"
0,"PoolArea"
0,"PoolQC"
0,"ScreenPorch"
0,"TotRmsAbvGrd"
6.06605849621354e-05,"TotalBsmtSF"
0,"WoodDeckSF"
0.000593210557084291,"YearBuilt"
0.00100002241410211,"YearRemodAdd"
0,"YrSold"
0,"BldgType_1Fam"
0,"BldgType_2fmCon"
0,"BldgType_Duplex"
0,"BldgType_Twnhs"
0,"BldgType_TwnhsE"
-0.0269609683429443,"CentralAir_N"
4.72682598780173e-13,"CentralAir_Y"
0,"Condition1_Artery"
0,"Condition1_Feedr"
0,"Condition1_Norm"
0,"Condition1_PosA"
0,"Condition1_PosN"
0,"Condition1_RRAe"
0,"Condition1_RRAn"
0,"Condition1_RRNe"
0,"Condition1_RRNn"
0,"Condition2_Artery"
0,"Condition2_Feedr"
0,"Condition2_Norm"
0,"Condition2_PosA"
0,"Condition2_PosN"
0,"Condition2_RRAe"
0,"Condition2_RRAn"
0,"Condition2_RRNn"
0,"Electrical_FuseA"
0,"Electrical_FuseF"
0,"Electrical_FuseP"
0,"Electrical_Mix"
0,"Electrical_SBrkr"
0,"Exterior1st_AsbShng"
0,"Exterior1st_AsphShn"
0,"Exterior1st_BrkComm"
0,"Exterior1st_BrkFace"
0,"Exterior1st_CBlock"
0,"Exterior1st_CemntBd"
0,"Exterior1st_HdBoard"
0,"Exterior1st_ImStucc"
0,"Exterior1st_MetalSd"
0,"Exterior1st_Plywood"
0,"Exterior1st_Stone"
0,"Exterior1st_Stucco"
0,"Exterior1st_VinylSd"
0,"Exterior1st_Wd.Sdng"
0,"Exterior1st_WdShing"
0,"Exterior2nd_AsbShng"
0,"Exterior2nd_AsphShn"
0,"Exterior2nd_Brk.Cmn"
0,"Exterior2nd_BrkFace"
0,"Exterior2nd_CBlock"
0,"Exterior2nd_CmentBd"
0,"Exterior2nd_HdBoard"
0,"Exterior2nd_ImStucc"
0,"Exterior2nd_MetalSd"
0,"Exterior2nd_Other"
0,"Exterior2nd_Plywood"
0,"Exterior2nd_Stone"
0,"Exterior2nd_Stucco"
0,"Exterior2nd_VinylSd"
0,"Exterior2nd_Wd.Sdng"
0,"Exterior2nd_Wd.Shng"
0,"Foundation_BrkTil"
0,"Foundation_CBlock"
0,"Foundation_PConc"
0,"Foundation_Slab"
0,"Foundation_Stone"
0,"Foundation_Wood"
0,"GarageFinish_Fin"
0,"GarageFinish_None"
0,"GarageFinish_RFn"
0,"GarageFinish_Unf"
0,"GarageType_2Types"
0.00487322016740647,"GarageType_Attchd"
0,"GarageType_Basment"
0,"GarageType_BuiltIn"
0,"GarageType_CarPort"
0,"GarageType_Detchd"
0,"GarageType_None"
0,"Heating_Floor"
0,"Heating_GasA"
0,"Heating_GasW"
0,"Heating_Grav"
0,"Heating_OthW"
0,"Heating_Wall"
0,"HouseStyle_1.5Fin"
0,"HouseStyle_1.5Unf"
0,"HouseStyle_1Story"
0,"HouseStyle_2.5Fin"
0,"HouseStyle_2.5Unf"
0,"HouseStyle_2Story"
0,"HouseStyle_SFoyer"
0,"HouseStyle_SLvl"
0,"LandContour_Bnk"
0,"LandContour_HLS"
0,"LandContour_Low"
0,"LandContour_Lvl"
0,"LandSlope_Gtl"
0,"LandSlope_Mod"
0,"LandSlope_Sev"
0,"LotConfig_Corner"
0,"LotConfig_CulDSac"
0,"LotConfig_FR2"
0,"LotConfig_FR3"
0,"LotConfig_Inside"
0,"LotShape_IR1"
0,"LotShape_IR2"
0,"LotShape_IR3"
0,"LotShape_Reg"
-0.0608972498630531,"MSZoning_C..all."
0,"MSZoning_FV"
0,"MSZoning_RH"
0.0114668533226728,"MSZoning_RL"
-0.0573662864221741,"MSZoning_RM"
0,"MasVnrType_0"
0,"MasVnrType_BrkCmn"
0,"MasVnrType_BrkFace"
0,"MasVnrType_None"
0,"MasVnrType_Stone"
0,"Neighborhood_Blmngtn"
0,"Neighborhood_Blueste"
0,"Neighborhood_BrDale"
0,"Neighborhood_BrkSide"
0,"Neighborhood_ClearCr"
0,"Neighborhood_CollgCr"
0,"Neighborhood_Crawfor"
0,"Neighborhood_Edwards"
0,"Neighborhood_Gilbert"
0,"Neighborhood_IDOTRR"
0,"Neighborhood_MeadowV"
0,"Neighborhood_Mitchel"
0,"Neighborhood_NAmes"
0,"Neighborhood_NPkVill"
0,"Neighborhood_NWAmes"
0,"Neighborhood_NoRidge"
0,"Neighborhood_NridgHt"
0,"Neighborhood_OldTown"
0,"Neighborhood_SWISU"
0,"Neighborhood_Sawyer"
0,"Neighborhood_SawyerW"
0,"Neighborhood_Somerst"
0,"Neighborhood_StoneBr"
0,"Neighborhood_Timber"
0,"Neighborhood_Veenker"
0,"PavedDrive_N"
0,"PavedDrive_P"
0,"PavedDrive_Y"
-1.21187912353669,"RoofMatl_ClyTile"
0,"RoofMatl_CompShg"
0,"RoofMatl_Membran"
0,"RoofMatl_Metal"
0,"RoofMatl_Roll"
0,"RoofMatl_Tar.Grv"
0,"RoofMatl_WdShake"
0,"RoofMatl_WdShngl"
0,"RoofStyle_Flat"
0,"RoofStyle_Gable"
0,"RoofStyle_Gambrel"
0,"RoofStyle_Hip"
0,"RoofStyle_Mansard"
0,"RoofStyle_Shed"
-0.0079292088553268,"SaleCondition_Abnorml"
0,"SaleCondition_AdjLand"
0,"SaleCondition_Alloca"
0,"SaleCondition_Family"
0,"SaleCondition_Normal"
0,"SaleCondition_Partial"
0,"SaleType_COD"
0,"SaleType_CWD"
0,"SaleType_Con"
0,"SaleType_ConLD"
0,"SaleType_ConLI"
0,"SaleType_ConLw"
0,"SaleType_New"
0,"SaleType_Oth"
0,"SaleType_WD"
0,"Street_Grvl"
0,"Street_Pave"
0,"Utilities_AllPub"
0,"Utilities_NoSeWa"
